County,latitude,longitude,Risk,FI Population 2021,2021 Cost Per Meal,2025 FI Population,2025 Cost Per Meal
Tishomingo,34.74043376,-88.23932314,Medium,"3,710",3.17,3865,3.59
Tunica,34.65067526,-90.37501084,Low,"1,830",3.28,1201,3.71
Union,34.49047423,-89.00385691,Medium,"3,970",3.28,3882,3.71
Walthall,31.14842224,-90.10613675,Medium,"2,560",3.4,2238,3.85
Warren,32.35722961,-90.85201121,Medium,"6,830",3.61,5448,4.08
Washington,33.28382477,-90.94732022,Medium,"9,380",3.52,6823,3.98
Wayne,31.6407805,-88.69579769,Medium,"3,040",3.38,2518,3.82
Webster,33.61306811,-89.28482558,Low,"1,680",3.65,1564,4.13
Wilkinson,31.16106746,-91.31091792,Low,"1,490",3.35,584,3.79
Winston,33.088491,-89.03442917,Medium,"3,180",3.19,2592,3.61
Yalobusha,34.02821156,-89.70763184,Medium,"2,070",3.39,1703,3.84
Yazoo,32.78031421,-90.39644797,Medium,"5,320",3.43,4938,3.88
